isin,name,full_name,issuer_name,sources
RU000A108B83,ОилРесур01,ОилРесурс БО-01,Ойл Ресурс Групп,"corpbonds,tbank"
RU000A10AHU1,ОилРес1P1,ОилРесурс 001P-01,Ойл Ресурс Групп,"corpbonds,tbank"
RU000A10C8H9,ОилРес1P2,Оил Ресурс 001P-02,Ойл Ресурс Групп,"corpbonds,tbank"
RU000A0JXC40,ПропфнБ-П1,О1 Пропертиз Финанс БО-П01USD,О1 Пропертиз Финанс,corpbonds
RU000A105AW7,ЗавдКЭС1Р3,Завод КЭС 001Р-03,Завод КЭС,"corpbonds,tbank"
RU000A106QS9,ЗавдКЭС1Р4,Завод КЭС 001Р-04,Завод КЭС,"corpbonds,tbank"
RU000A107U40,ЗавдКЭС1Р5,Завод КЭС 001Р-05,Завод КЭС,"corpbonds,tbank"
RU000A106ZZ5,ФабрФавБО1,Фабрика ФАВОРИТ БО-01,Фабрика Фаворит,corpbonds
RU000A107SH6,НИКА 1Р03,НИКА 001Р-03,Ника,"corpbonds,tbank"
RU000A106U74,НИКА 1Р02,НИКА 001Р-02,Ника,"corpbonds,tbank"
RU000A109S83,МОНОП 1P01,МОНОПОЛИЯ 001P-01,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10AA02,МОНОП 1P02,МОНОПОЛИЯ 001P-02,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10ARS4,МОНОП 1P03,МОНОПОЛИЯ 001P-03,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10B396,МОНОП 1P04,МОНОПОЛИЯ 001P-04,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10C5Z7,МОНОП 1P06,МОНОПОЛИЯ 001P-06,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10BWL7,МОНОП 1P05,МОНОПОЛИЯ 001P-05,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A10CFH8,МОНОП 1P07,МОНОПОЛИЯ 001P-07,МОНОПОЛИЯ,"corpbonds,tbank"
RU000A109SJ8,ОСТРОВМ-01,ОСТРОВМАШИН-01,Остров машин,corpbonds
RU000A109SX9,Садко 1P1,ЦРС Садко 001P-01,Садко ЦРС,"corpbonds,tbank"
RU000A109T41,R-Vision 1,Р-Вижн 001Р-01,Р-Вижн,corpbonds
RU000A10B7W1,R-Vision 2,Р-Вижн 001Р-02,Р-Вижн,"corpbonds,tbank"
RU000A109650,СФО АИ А1,СФО АИ класса А1,СФО АИ,corpbonds
RU000A109U06,ДелЛиз1Р1,ДельтаЛизинг 001Р-01,ДельтаЛизинг,corpbonds
RU000A10B0J3,ДелЛиз1Р2,ДельтаЛизинг 001P-02,ДельтаЛизинг,"corpbonds,tbank"
RU000A109UE5,РАТ 001-01,Автоассистанс 001-01,Автоассистанс,corpbonds
RU000A109XN0,СЛДК 1P1,СЛДК 001P-01,СЛДК,corpbonds
RU000A107YT9,Рубеж 1P2,Агрофирма Рубеж 001Р-02,Агрофирма Рубеж,"corpbonds,tbank"
RU000A10A0H8,ВЕРАТЕК-01,ВЕРАТЕК-01,Вератек,"corpbonds,tbank"
RU000A10A1N4,АльфаЛБ02,Альфа-Лизинг БО-02,Альфа-Лизинг,"corpbonds,tbank"
RU000A10A398,СИМПЛ1Р01,СИМПЛ 001Р-01,Симпл,"corpbonds,tbank"
RU000A10BNE1,СИМПЛ1Р03,СИМПЛ 001Р-03,Симпл,"corpbonds,tbank"
RU000A10BQ78,СИМПЛ1Р04,СИМПЛ 001Р-04,Симпл,"corpbonds,tbank"
