isin,name,full_name,issuer_name,sources
RU000A10C2R1,Виллин1P2,Виллина 001P-02,Виллина,"corpbonds,tbank"
RU000A10A505,Виллин1P1,Виллина 001P-01,Виллина,corpbonds
RU000A10A794,Автом01CNY,Автомое БО-01-CNY,АвтоМоё Опт,"corpbonds,tbank"
RU000A10A7A8,ВЗВТ-01,ВЗВТ-01,ВЗВТ,"corpbonds,tbank"
RU000A10AA10,ПСБЛизП01,ПСБ Лизинг БО-П01,ПСБ Лизинг,"corpbonds,tbank"
RU000A10AA77,СЗА БО-01,ПКО СЗА БО-01,ПКО СЗА,corpbonds
RU000A10B7S9,СЗА БО-02,ПКО СЗА БО-02,ПКО СЗА,"corpbonds,tbank"
RU000A10CCB8,СЗА БО-03,ПКО СЗА БО-03,ПКО СЗА,"corpbonds,tbank"
RU000A10AAQ4,СФО СФ1 01,СФО Сплит Финанс 1 01,СФО Сплит Финанс 1,"corpbonds,tbank"
RU000A10AAU6,Амур 24001,Минфин Амурской обл. 24001,Амурская Обл Прав,"corpbonds,tbank"
RU000A10ABJ7,РесАлб1Р01,Ресурсы Албазино 001Р-01,Ресурсы Албазино,corpbonds
RU000A10BVR6,РесАлб1Р02,Ресурсы Албазино 001Р-02,Ресурсы Албазино,corpbonds
RU000A109MB8,ВСМИ1,ВСМИнвестПервый,СФО ВСМ Инвест - Первый,corpbonds
RU000A10AC18,Асача 1P1,ТСГ Асача 001P-01,ТСГ АСАЧА,corpbonds
RU000A10ADR6,РОВИ 1Р1,РОВИ Факторинг Плюс 001Р-01,РОВИ Факторинг Плюс,corpbonds
RU000A10AEG7,ПолиплП2Б1,Полипласт АО П02-БО-01,Полипласт,"corpbonds,tbank"
RU000A10BFJ6,ПолиплП2Б4,Полипласт АО П02-БО-04,Полипласт,"corpbonds,tbank"
RU000A10B4J5,ПолиплП2Б3,Полипласт АО П02-БО-03,Полипласт,"corpbonds,tbank"
RU000A10AYW2,ПолиплП2Б2,Полипласт АО П02-БО-02,Полипласт,"corpbonds,tbank"
RU000A10C8A4,ПолиплП2Б8,Полипласт АО П02-БО-08,Полипласт,"corpbonds,tbank"
RU000A10BPN7,ПолиплП2Б5,Полипласт АО П02-БО-05,Полипласт,"corpbonds,tbank"
RU000A10BV71,ПолиплП2Б7,Полипласт АО П02-БО-07,Полипласт,corpbonds
RU000A10BU07,ПолиплП2Б6,Полипласт АО П02-БО-06,Полипласт,"corpbonds,tbank"
RU000A10CH11,ПолиплП2Б9,Полипласт АО П02-БО-09,Полипласт,"corpbonds,tbank"
RU000A10CQA0,ПолипП2Б10,Полипласт АО П02-БО-10,Полипласт,corpbonds
RU000A10CTH9,ПолипП2Б11,Полипласт АО П02-БО-11,Полипласт,"corpbonds,tbank"
RU000A10AF64,СКСек1Р-01,ООО Совком Секьюритиз 001Р-01,Совком Секьюритиз,corpbonds
RU000A10AFB5,МиратФ1Р2,"ООО ""Мираторг Финанс"" 001Р-02",Мираторг Финанс,corpbonds
RU000A10AC67,ВОКСИС-01,ВОКСИС-01,Воксис,"corpbonds,tbank"
RU000A10B222,ВОКСИС-02,ВОКСИС-02,Воксис,"corpbonds,tbank"
RU000A10C8K3,ВОКСИС-04,ВОКСИС-04,Воксис,"corpbonds,tbank"
RU000A10BW39,ВОКСИС-03,ВОКСИС-03,Воксис,"corpbonds,tbank"
RU000A10C741,Кокс01Р4,Кокс ПАО 001P-04,Кокс,"corpbonds,tbank"
RU000A10CRB6,Кокс01Р6,Кокс ПАО 001P-06,Кокс,"corpbonds,tbank"
